cust_ucv_id,last_trns_dt,b3_br_flag,b3_ea_flag,b3_od_flag,cashi_flag,sm_br_flag,sm_od_flag,w2_br_flag,w2_ea_flag,w2_od_flag,cust_clasif,vertical_depth,banner_depth,banner_path,SRC_BC_node1,TGT_BC_node1,SRC_BC_node1_dt,SRC_BC_node2,TGT_BC_node2,SRC_BC_node2_dt,SRC_BC_node3,TGT_BC_node3,SRC_BC_node3_dt,SRC_BC_node4,TGT_BC_node4,SRC_BC_node4_dt,SRC_BC_node5,TGT_BC_node5,SRC_BC_node5_dt,SRC_BC_node6,TGT_BC_node6,SRC_BC_node6_dt,SRC_BC_node7,TGT_BC_node7,SRC_BC_node7_dt,SRC_BC_node8,TGT_BC_node8,SRC_BC_node8_dt,SRC_BC_node9,TGT_BC_node9,SRC_BC_node9_dt,bc_combination
-1000017140288258815,2025-08-07,1,0,0,0,1,0,1,0,0,MULTI BANNER/VERTICAL,3,3,W2 > B3 > SAMS,W2 BRICK,B3 BRICK,2024-06-13,B3 BRICK,SAMS BRICK,2024-09-11,SAMS BRICK,STAYED,2025-05-07,,,,,,,,,,,,,,,,,,,"B3 BRICK, SAMS BRICK, W2 BRICK"
-1000017238845687546,2025-03-29,1,0,0,0,0,0,0,0,0,SINGLE BANNER/VERTICAL,1,1,B3,B3 BRICK,STAYED,2024-11-26,,,,,,,,,,,,,,,,,,,,,,,,,B3 BRICK
-1000017728075077628,2025-08-03,1,0,0,0,0,0,0,0,0,SINGLE BANNER/VERTICAL,1,1,B3,B3 BRICK,STAYED,2024-06-06,,,,,,,,,,,,,,,,,,,,,,,,,B3 BRICK
-100001791304414463,2025-03-05,0,0,0,0,1,0,0,0,1,MULTI BANNER/VERTICAL,2,2,SAMS > W2,SAMS BRICK,W2 OD,2024-07-13,W2 OD,STAYED,2025-01-30,,,,,,,,,,,,,,,,,,,,,,"SAMS BRICK, W2 OD"
-1000018000498544506,2024-12-30,1,0,0,0,0,0,0,0,0,SINGLE BANNER/VERTICAL,1,1,B3,B3 BRICK,STAYED,2024-10-07,,,,,,,,,,,,,,,,,,,,,,,,,B3 BRICK
-1000018068793030522,2024-08-26,1,0,0,0,0,0,0,0,0,SINGLE BANNER/VERTICAL,1,1,B3,B3 BRICK,STAYED,2024-08-23,,,,,,,,,,,,,,,,,,,,,,,,,B3 BRICK
-100001828593432826,2024-12-24,0,0,0,0,0,0,1,0,0,SINGLE BANNER/VERTICAL,1,1,W2,W2 BRICK,STAYED,2024-12-24,,,,,,,,,,,,,,,,,,,,,,,,,W2 BRICK
-1000018295715500346,2025-03-11,1,0,0,0,0,0,0,0,0,SINGLE BANNER/VERTICAL,1,1,B3,B3 BRICK,STAYED,2025-03-11,,,,,,,,,,,,,,,,,,,,,,,,,B3 BRICK
-1000018308919330490,2025-08-08,1,0,0,0,0,0,0,0,0,SINGLE BANNER/VERTICAL,1,1,B3,B3 BRICK,STAYED,2024-11-10,,,,,,,,,,,,,,,,,,,,,,,,,B3 BRICK
-1000018332112254202,2025-08-03,1,0,0,0,0,0,0,0,0,SINGLE BANNER/VERTICAL,1,1,B3,B3 BRICK,STAYED,2025-08-03,,,,,,,,,,,,,,,,,,,,,,,,,B3 BRICK
-1000018338357315770,2024-11-26,0,0,0,0,0,0,1,0,0,SINGLE BANNER/VERTICAL,1,1,W2,W2 BRICK,STAYED,2024-11-26,,,,,,,,,,,,,,,,,,,,,,,,,W2 BRICK
-1000018358090675836,2024-11-16,0,1,0,0,0,0,0,0,0,SINGLE BANNER/VERTICAL,1,1,B3,B3 EA,STAYED,2023-10-22,,,,,,,,,,,,,,,,,,,,,,,,,B3 EA
